"","DDE","DDT","HCB","PBDE-47","PBDE-153","PCB-118","PCB-138","PCB-153","PCB-170","PCB-180","PFOA","PFNA","PFUnDA","PFHXS","PFOS","As","Cd","Co","Cs","Cu","Hg","Mn","Mo","Pb","MEP","MiBP","MnBP","MBzP","MEHP","MEHHP","MEOHP","MECPP","ohMINP","oxo-MINP","MEPA","ETPA","PRPA","BPA","BUPA","OXBE","TRCS","DMP","DMTP","DMDTP","DEP","DETP","Cotinine"
"MEPA","-0.10","-0.15"," 0.07","-0.04"," 0.00","-0.09","-0.07","-0.07","-0.04","-0.06"," 0.01"," 0.02"," 0.14","-0.02","-0.09","-0.01"," 0.05"," 0.07","-0.07","-0.02"," 0.10","-0.13","-0.07","-0.07"," 0.30"," 0.17"," 0.15"," 0.08"," 0.13"," 0.13"," 0.13"," 0.13"," 0.14"," 0.14"," 1.00"," 0.60"," 0.85"," 0.19"," 0.49"," 0.17"," 0.22"," 0.11"," 0.15"," 0.09"," 0.18"," 0.06","-0.03"
"ETPA","-0.11","-0.09"," 0.12","-0.01"," 0.05"," 0.02"," 0.00"," 0.00"," 0.05"," 0.02"," 0.01"," 0.02"," 0.15"," 0.01","-0.05","-0.01"," 0.02"," 0.13","-0.04","-0.04"," 0.14","-0.13","-0.08","-0.15"," 0.33"," 0.13"," 0.11"," 0.05"," 0.17"," 0.15"," 0.17"," 0.19"," 0.19"," 0.18"," 0.60"," 1.00"," 0.55"," 0.19"," 0.69"," 0.26"," 0.25"," 0.16"," 0.19"," 0.07"," 0.19"," 0.07","-0.02"
"PRPA","-0.07","-0.14"," 0.07","-0.06"," 0.05","-0.14","-0.11","-0.11","-0.09","-0.09"," 0.01"," 0.02"," 0.15","-0.01","-0.12"," 0.03"," 0.07"," 0.10","-0.09"," 0.01"," 0.11","-0.07","-0.02","-0.09"," 0.28"," 0.13"," 0.11"," 0.00"," 0.10"," 0.09"," 0.09"," 0.09"," 0.13"," 0.10"," 0.85"," 0.55"," 1.00"," 0.14"," 0.45"," 0.20"," 0.19"," 0.06"," 0.09"," 0.02"," 0.13"," 0.04","-0.04"
"BPA","-0.03","-0.05"," 0.04"," 0.07","-0.10","-0.01"," 0.01"," 0.00"," 0.02"," 0.01"," 0.00"," 0.02"," 0.03"," 0.03"," 0.04"," 0.01"," 0.10","-0.08"," 0.04","-0.09"," 0.00","-0.07","-0.04","-0.08"," 0.24"," 0.33"," 0.32"," 0.31"," 0.32"," 0.37"," 0.38"," 0.36"," 0.25"," 0.24"," 0.19"," 0.19"," 0.14"," 1.00"," 0.11"," 0.20"," 0.19"," 0.28"," 0.28"," 0.21"," 0.30"," 0.14"," 0.10"
"BUPA","-0.10","-0.03"," 0.07","-0.07","-0.04"," 0.09"," 0.07"," 0.07"," 0.11"," 0.07"," 0.06"," 0.06"," 0.12"," 0.05"," 0.03"," 0.03"," 0.02"," 0.08"," 0.00","-0.01"," 0.14","-0.04","-0.01","-0.07"," 0.26"," 0.10"," 0.08"," 0.07"," 0.11"," 0.09"," 0.10"," 0.10"," 0.14"," 0.11"," 0.49"," 0.69"," 0.45"," 0.11"," 1.00"," 0.22"," 0.26"," 0.09"," 0.11"," 0.05"," 0.09"," 0.03","-0.08"
"OXBE","-0.03","-0.14","-0.08"," 0.03"," 0.11","-0.23","-0.20","-0.19","-0.21","-0.18","-0.04"," 0.01"," 0.00","-0.03","-0.13","-0.02"," 0.11","-0.05","-0.11","-0.05","-0.05","-0.06"," 0.02","-0.06"," 0.18"," 0.18"," 0.18"," 0.03"," 0.07"," 0.09"," 0.09"," 0.14"," 0.11"," 0.14"," 0.17"," 0.26"," 0.20"," 0.20"," 0.22"," 1.00"," 0.04"," 0.11"," 0.12"," 0.04"," 0.14"," 0.09"," 0.05"
"TRCS","-0.15"," 0.12"," 0.20","-0.09","-0.11"," 0.32"," 0.23"," 0.23"," 0.31"," 0.25"," 0.11","-0.08","-0.15"," 0.21"," 0.15","-0.10","-0.19","-0.08"," 0.05","-0.06"," 0.16","-0.14","-0.06","-0.16"," 0.21"," 0.13"," 0.16"," 0.23"," 0.19"," 0.19"," 0.22"," 0.19"," 0.13"," 0.10"," 0.22"," 0.25"," 0.19"," 0.19"," 0.26"," 0.04"," 1.00"," 0.18"," 0.16"," 0.04"," 0.18"," 0.08","-0.02"
"DMP"," 0.00"," 0.06"," 0.11"," 0.04","-0.11"," 0.16"," 0.13"," 0.14"," 0.19"," 0.15"," 0.12"," 0.08"," 0.07"," 0.04"," 0.14","-0.07"," 0.06","-0.12"," 0.06","-0.01"," 0.05","-0.09"," 0.00","-0.01"," 0.15"," 0.33"," 0.38"," 0.39"," 0.31"," 0.38"," 0.39"," 0.36"," 0.22"," 0.22"," 0.11"," 0.16"," 0.06"," 0.28"," 0.09"," 0.11"," 0.18"," 1.00"," 0.75"," 0.46"," 0.56"," 0.33"," 0.06"
"DMTP"," 0.08"," 0.07"," 0.07"," 0.03","-0.13"," 0.08"," 0.08"," 0.10"," 0.14"," 0.10"," 0.06"," 0.12"," 0.13","-0.01"," 0.08","-0.09"," 0.01","-0.11"," 0.11","-0.07"," 0.03","-0.10"," 0.02"," 0.03"," 0.13"," 0.35"," 0.36"," 0.33"," 0.35"," 0.40"," 0.39"," 0.40"," 0.22"," 0.23"," 0.15"," 0.19"," 0.09"," 0.28"," 0.11"," 0.12"," 0.16"," 0.75"," 1.00"," 0.65"," 0.55"," 0.47"," 0.05"
"DMDTP"," 0.16"," 0.07"," 0.00"," 0.05","-0.10"," 0.02"," 0.07"," 0.07"," 0.11"," 0.08"," 0.03"," 0.16"," 0.19","-0.03"," 0.06","-0.06"," 0.06","-0.03"," 0.10","-0.10"," 0.03","-0.10"," 0.03"," 0.06"," 0.05"," 0.29"," 0.27"," 0.29"," 0.31"," 0.36"," 0.32"," 0.36"," 0.13"," 0.18"," 0.09"," 0.07"," 0.02"," 0.21"," 0.05"," 0.04"," 0.04"," 0.46"," 0.65"," 1.00"," 0.33"," 0.33","-0.01"
"DEP"," 0.01"," 0.09"," 0.06","-0.01","-0.07"," 0.09"," 0.06"," 0.07"," 0.10"," 0.08"," 0.04"," 0.03"," 0.01"," 0.03"," 0.09","-0.08"," 0.06"," 0.03"," 0.01","-0.02","-0.04"," 0.00","-0.12"," 0.08"," 0.19"," 0.38"," 0.39"," 0.36"," 0.36"," 0.41"," 0.42"," 0.40"," 0.19"," 0.25"," 0.18"," 0.19"," 0.13"," 0.30"," 0.09"," 0.14"," 0.18"," 0.56"," 0.55"," 0.33"," 1.00"," 0.53"," 0.13"
"DETP"," 0.08"," 0.10"," 0.01","-0.06","-0.10"," 0.04"," 0.03"," 0.07"," 0.09"," 0.07"," 0.00"," 0.04"," 0.01"," 0.00"," 0.04","-0.02","-0.04"," 0.00"," 0.01","-0.06","-0.04","-0.06","-0.06","-0.06"," 0.06"," 0.17"," 0.18"," 0.17"," 0.13"," 0.18"," 0.17"," 0.21"," 0.06"," 0.07"," 0.06"," 0.07"," 0.04"," 0.14"," 0.03"," 0.09"," 0.08"," 0.33"," 0.47"," 0.33"," 0.53"," 1.00","-0.01"
"Cotinine"," 0.09","-0.17","-0.21"," 0.07","-0.07","-0.30","-0.18","-0.17","-0.22","-0.18"," 0.00"," 0.12"," 0.09","-0.07","-0.07","-0.05"," 0.39","-0.02"," 0.02","-0.03","-0.16","-0.03"," 0.01"," 0.07"," 0.09"," 0.19"," 0.05"," 0.05"," 0.15"," 0.15"," 0.14"," 0.16"," 0.09"," 0.16","-0.03","-0.02","-0.04"," 0.10","-0.08"," 0.05","-0.02"," 0.06"," 0.05","-0.01"," 0.13","-0.01"," 1.00"
